REG_ID,BAT_ID,SORTORDER
66,341,238125
66,342,238137
66,134,238154
66,343,238165
66,344,238167
66,345,238172
66,138,238203
66,346,238206
66,347,238211
66,348,238215
66,170,238227
66,220,238252
66,221,238431
66,349,238440
66,350,238442
66,351,238443
66,352,238482
66,353,238526
66,354,239457
66,355,240457
66,356,241317
68,109,242036
68,110,243172
68,111,244455
68,358,244490
68,360,244585
68,361,244726
68,362,244730
68,363,244763
68,364,245112
68,365,245299
68,366,245335
68,367,245336
68,368,245354
68,369,245359
68,370,246302
68,276,247232
68,120,247416
68,253,247426
68,371,247452
68,372,247484
68,373,247490
68,374,247497
68,242,247713
68,375,247755
68,376,247757
68,144,247759
68,377,247765
68,172,247768
68,378,247775
68,379,247792
68,380,247793
68,381,247794
68,382,247797
68,383,247798
68,384,247799
68,385,247804
68,386,247806
68,387,247807
68,388,247810
68,389,247811
68,390,247812
36,144,106421
36,109,106443
36,110,107813
36,111,107867
36,112,107907
36,113,108918
36,114,109794
36,115,110695
36,116,111656
36,117,112526
36,118,113207
36,120,114201
36,121,114477
36,241,115226
36,161,116449
36,162,116604
36,163,116611
36,123,116620
36,124,117340
36,125,118129
36,126,118773
36,127,119249
36,128,119252
36,131,119254
36,132,119309
36,133,119318
36,242,119323
36,243,119357
36,244,119415
36,245,119418
36,246,119420
36,247,119425
36,248,119429
